Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
HyMEx;The Hydrological Cycle in Mediterranean Experiment;;HyMEx is a large interational campaign that is still ongoing. HyMEx is focused on studying the water cycle, hydrometeorlogical extremes, and the societal impacts of those extremes. NASA participated in a special operating period in Septemeber through November of 2012. NASa provided multiple ground isntruments while French and German organizations provided aircraft and airborne instruments. Water-based platforms were also used, through mroe heavily during the 2013 deployment. The work that NASA provided for HyMEx was also in support of GPM.;Weather, Global Water & Energy Cycle;flash flooding, mesoscale convective systems, societal impacts, extratropical cyclones;Mediterranean coastline;50, 30, 35, -10;year round;9/5/2012;3/15/2013;2;9/23/2012-9/24/2012, 9/27/2012-9/29/2012;WCRP/GEWEX, WWRP/THORPEX;PMM;NID;Walter Petersen;NID;Aircraft, Land-based Platforms, Water-based Platforms, Balloons, Satellites;Falcon, ATR-42, DO128;Falcon: RASTA, dropsondes, CDP-ROBUST, 2D-S, PIP probe, CPI, CLIMAT, ATR-42: LEANDRE 2, Rosemount, CAI, CPC, CCN, SMPS, VMPS, FMPS, OPC, VOPC, PCASP, PSAP, AMS, 2 stage impactor, PVM, SPP-100, CDP, CIP, DO128: KT19, Lyman-Alpha hygrometer, Rosemount PT 100, Aerodata-Humicap, TP 3, 5-hole-probe, CM22, CG 4, Rosemount 1221, Rosemount 1201, Picarro;Le Suroit, Tethys-2, Le Provence, Argo network, TRANSMED, weather stations, lightning mapping array;BASIL, MOBLIS, RMAN 510, MRR, radiometers, disdrometers, wind profilers, radiosondes, GPS receivers, GRIMM, MXPOL, rain gauges, 2DVD, NO-XP, soil probes, SVR radar, theta probe, APU, sodar;63;wind speed, rain, precipitation amount, precipitation rate, extratropical cyclones, extreme weather, enso precipitation index, oceanic feedbacks, natural hazards, floods;1350, 1516, 1523, 1529, 1548, 2070, 2087, 2204, 2553, 3922;NID;HyMEx Logo;https://wallops-prf.gsfc.nasa.gov/Field_Campaigns/img/hmx.png;NASA;https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-12-00242.1;GPM;3;;GHRC;NID;https://hymex.org;"https://journals.ametsoc.org/doi/suppl/10.1175/BAMS-D-12-00244.1/suppl_file/10.1175_bams-d-12-00244.2.pdf, 
https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-12-00244.1";YES;JAXA;https://www.jaxa.jp/;FALSE;59a050da-525a-4416-8e2d-d291f837051d;"There were 2 field deployment, but it seems like NASA only participated in the first one. The rest of the tabs only cover the first deployment because of this.
Campaign actually began in 2010 and is still ongoing, but the dates reflect that of the deployments.";;SB;4/15/2020;
IceBridge;Operation IceBridge;;Collects airborne remote sensing measurements to bridge the gap between NASA's Ice, Cloud and Land Elevation Satellite (ICESat) mission and the upcoming ICESat-2 mission.;Climate Variability & Change, Earth Surface & Interior;;Greenland, Alaska, Antarctic;;;;;33;;;;Tom Wagner;Nathan Kurtz;Steve Tanner/NSIDC DAAC;Aircraft, ground-based platforms;P-3, DC-8, C130, King Air B-200, HU25C Falcon, Gulfstream G-V, BT-67;LIDAR, Optical magnetometer, Laser Altimeter, ATM;;;;;;;;;;;;;;NSIDC DAAC;https://nsidc.org/data/icebridge/;;"https://nsidc.org/data/icebridge/
This is a decadal program with a wide range of instruments and aircraft. There is a data access portal dedicated to the effort: https://nsidc.org/icebridge/portal/map";;;N/A;;;;;;;
ICEPOP;;;;;;;;;;;;;;;;;;Ground-based platforms;;;;;;;;;;;;;;;;GHRC;;;;;;;;;;;;;
IFLoodS;;;;;;;;;;;;;;;;;;Aircraft, Ground-based platforms;;;;;;;;;;;;;;;;GHRC;;;;;;;;;;;;;
ImPACT-PM;Imaging Polarimetric Assessment and Characterization of Tropospheric Particulate Matter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ASDC;;;;;;;;;;;;;
INTEX;Intercontinental Chemical Transport Experiment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPHEx;Integrated Precipitation and Hydrology Experiment;IPHEx was a PMM/GPM Ground Validation campaign in the southern Appalachian mountains during May-June 2014 that observed warm season orographic precipitation with ground and airborne sensors over complex terrain. The campaign also included a hydrologic applications component focused on Quantitative Precipitation Estimation (QPE) evaluations and impacts on hydrologic and water resources forecasts.;Seeks to characterize warm season orographic precipitation regimes, the relationship between precipitation regimes and hydrologic processes in regions of complex terrain, and evaluate utility and uncertainties of Quantitative Precipitation Estimation (QPE) products for hydrologic forecasting and water resource applications.;Weather, Global Water & Energy Cycle;warm season orographic precipitation, warm season convection, warm season precipitation, Quantitative Precipitation Estimation (QPE), hydrologic processes, hydrologic forecasting;Southern Appalachians, including portions of North Carolina, South Carolina, Tennessee, Georgia;38, 32, -75, -86;boreal spring, boreal summer, warm;5/1/2014;6/15/2014;1;10 May 2014, 15-16 May 2014, 18 May 2014, 19 May 2014, 23 May 2014, 25 May 2014, 26 May 2014, 27 May 2014, 29 May 2014, 6 June 2014, 8 June 2014, 11 June 2014;PMM, GPM, GPM GV;;Ramesh Kakar;Ana Barros;GHRC;Aircraft, Balloons, Satellites, Land-based Platforms, Model Output;ER-2, Citation;ER-2: AMPR, CoSMIR, EXRAD, CRS, HIWRAP, Citation: 2D-C, 2D-S, HVPS-3, CDP, CPC, CPI, Laser Hygrometer (TDL), Nevzorov Probe, King Probe, Rosemount Icing Detector;ground sites, ground-based radars, radiosondes, GPM satellite, TRMM satellite, models;Parsivel, 2DVD, NPOL, D3R, NOXP, MRR, ACHIEVE W-band cloud radar, WSR-88D/NEXRAD, rain gauges, radiosondes, ceilometer, total sky imager, microwave radiometer, soil moisture probes;46;Atmospheric Water Vapor, Atmospheric Winds, Cloud Microphysics, Clouds, Precipitation, Weather Events, Atmosphere, Water Management, Natural Hazards, Topographic Effects, Terrestrial Hydrosphere;1332, 1386, 1414, 1502, 1542, 1680, 1681, 2488, 2553, 2915, 4018;http://dx.doi.org/10.5067/GPMGV/IPHEX/DATA101;;;;"DOE Report - Barros et al. 2016 doi:10.2172/1248894 ; Science Plan - Barros et al. 2014 doi: 10.7924/G8CC0XMR";PMM, GPM;45;;GHRC;https://ghrc.nsstc.nasa.gov/home/field-campaigns/iphex;;https://pmm.nasa.gov/IPHEx , NAV data on https://asp-archive.arc.nasa.gov/;;Duke University, NOAA Hydrometeorological Testbed;http://iphex.pratt.duke.edu/, https://hmt.noaa.gov/;FALSE;4e5d740a-2143-49d3-b11c-0af552cf525c;;;SMW;30 Oct;
KORUS-AQ;Korean United States - Air Quality;;air quality - ozone, fine particles;Atmospheric Composition;;South Korean peninsula and surrounding waters;;;;;1;;Tropospheric Composition Program;;Barry Lefer;;Gao Chen;Aircraft, ground-based platforms;NASA DC-8, NASA B-200, Hanseo King Air, KMA King Air;https://espo.nasa.gov/korus-aq/content/KORUS-AQ_Instrument_Teams;;;;;;;;;;;;;;ASDC;https://www-air.larc.nasa.gov/missions/korus-aq/index.html, NAV data on https://asp-archive.arc.nasa.gov/;;N/A;;;N/A;;;;;;;
LASE Validation;Lidar Atmospheric Sensing Experiment;;The LASE program was initiated as an effort to produce an autonomous system for measuring water vapor levels from airborne and spaceborne platforms using LIDAR technology.;Atmospheric Composition;;Wallops Island, VA;;;;;1;;;;;Edward V. Browell;;Aircraft;ER-2;;;;;;;;;;;;;;;ASDC;;;N/A;;;N/A;;;;;;;
LBA-ECO Phase I, II, III;Large Scale Biosphere-Atmosphere Experiment;;Investigate how the ecosystem of the Amazon interacts with its surroundings and increase the ability to model said interactions. Provide quantitative and qualitative information to support sustainable development and ecosystem protection policies. Increasing the understanding of the sources and sinks of carbon dynamics, nutrient dynamics, effects of climate change, the system functioning, hydrometeorology to supplement the future trajectories from modeling of future amazonian states and functions.;Carbon Cycle & Ecosystems;;Amazon;;;;;3;;;;Diane Wickland, Garik Gutman, Jared Entin;"Michael Keller ('98-'06),
Eric Davidson ('07-'08)";"Bob Cook,
Les Hook";;;;;;;;;;;;;;;;;ORNL;http://lbaeco-archive.ornl.gov/;;N/A;;;N/A;;;;;;;
LITE;Lidar In-Space Technology Experiment;;LITE was a three-wavelength backscatter lidar developed by NASA Langley Research Center to fly on the Space Shuttle to support advancement of knowledge of Earth as a system to meet the challenges of environmental changes, and to improve life on our planet.;Climate Variability & Change;;North and South Atlantic Ocean;;;;;1;;;;;M. Patrick McCormick;;Lidar;STS-64;;;;;;;;;;;;;;;ASDC;;;N/A;;;N/A;;;;;;;
LPVEx;Light Precipitation Evaluation Experiment;;The Light Precipitation Evaluation Experiment (LPVEx) planned for the Gulf of Finland in September and October, 2010 will acquire accurate estimates of rainfall at latitudes poleward of 30 degrees by collecting microphysical properties, associated remote sensing observations, and coordinated model simulations of high latitude precipitation systems to drive the evaluation and development of precipitation algorithms for current and future satellite platforms. Specifically, LPVEx seeks to characterize the ability of CloudSat, the Global Precipitation Measurement mission (GPM) Dual-frequency Precipitation Radar (DPR), and existing/planned passive microwave (PMW) sensors such as the GPM microwave imager (GMI) to detect light rain and evaluate their estimates of rainfall intensity in high latitude, shallow freezing level environments. Through the collection of additional microphysical and environmental parameters, the campaign will also seek to better understand the process of light rainfall formation and augment the currently limited database of light rainfall microphysical properties that form the critical assumptions at the root of satellite retrieval algorithms;Weather;precipitation, rainfall, rainfall intensity, light precipitation, light rain formation, light rainfall microphysics;Gulf of Finland;75, 34, 26, 20;boreal fall;9/14/2010;10/20/2010;1;9/21/2010, 10/16/2010, 10/20/2010;NASA;NID;NID;Walt Peterson;NID;Aircraft;UWKA;UWKA: FSSP, King hot wire probe, Gerber, 2D-C, 2D-P, CIP, CDP, Nevzorov probe, PCASP, W-band Radar;ground-based, ship, satellite, model;C-band Dual Pol. Radar, C-band Doppler, UHF Wind Profiler, 2DVD, Parsivel Disdrometers, Joss-Waldvogel, Ka-band Radar, Snow LWE probes, ADMIRARI Radiometer, MRR, Vaisala WXT 520, Weighing gauges, Automatic Sounding System, Transportable sounding stationVaisala MARWIN MW12, soundings, POSS, SMEAR, ceilometers, weather mast, Vaisala Digicora Sounding System, ADCP/CTD, Parsivel, CloudSat, MODIS, AMSR-E, AMSU-B, FMI Regional, CRM, SMM;16;cloud microphysics, liquid precipitation, rain, precipitation rate;1414, 1517, 1516, 1529;https://doi.org/10.5067/GPMGV/LPVEX/DATA101;LPVEx Logo;https://pmm.nasa.gov/sites/default/files/imce/lpvex_logo.jpg;NASA;;Global Precipitation Mission, CloudSat;21;;GHRC;https://ghrc.nsstc.nasa.gov/home/field-campaigns/lpvex;https://gpm.nasa.gov/science/ground-validation/lpvex;"https://lecuyer.aos.wisc.edu/lpvex/index.php

https://gpm.nasa.gov/sites/default/files/document_files/lpvex_science_plan_Jan29_2010.pdf";N/A;Finnish Meteorological Institute;https://en.ilmatieteenlaitos.fi/;FALSE;9d1e0a31-891b-4a16-a049-e77f1681aec2;This was a validation campaign.;;AS;4/14/2020;
MC3E;Mid-latitude Continental Convective Clouds Experiment;;The Mid-latitude Continental Convective Clouds Experiment (MC3E) took place in central Oklahoma during the April–June 2011 period. The experiment was a collaborative effort between the U.S. Department of Energy (DOE) Atmospheric Radiation Measurement (ARM) Climate Research Facility and the National Aeronautics and Space Administration’s (NASA) Global Precipitation Measurement (GPM) mission Ground Validation (GV) program. The campaign leveraged the largest ground-based observing infrastructure available in the central United States, including recent upgrades through the American Recovery and Reinvestment Act of 2009, combined with an extensive sounding array, remote sensing and in situ aircraft observations, and additional radar and in situ precipitation instrumentation. The overarching goal of the campaign was to provide a three-dimensional characterization of convective clouds and precipitation for the purpose of improving the representation of convective lifecycle in atmospheric models and the reliability of satellite-based retrievals of precipitation.;Weather, Atmospheric Composition;convection, convective cloud systems, precipitation, convective processes, midlatitude convective clouds, physical processes, thermodynamics, microphysical properties, updraft and downdraft dynamics;Central Oklahoma, Southern Plains;43, 28, -91, -121;boreal spring, boreal summer;4/22/2011;6/6/2011;1;4/25/2011, 5/20/2011, 5/23/2011;NASA;Global Precipitation Measurement mission Ground Validation;NID;Michael Jensen;NID;Aircraft;ER-2, Citation;"ER-2: AMPR, CoSMIR, HIWRAP

Citation: PMS King Probe, CIP, HVPS, CPI, CDP, Nevzorov Probe, CNC, UHSAS, RICE";ground-based, radar, satellite;APU, rain gauges, radiosonde, surface bowen tower, 2DVD, Dual-pol radar, X-band radar, D3R, NPOL, AERI, Ka/W band radar, S-band profiler, GOES, CloudSat, Calipso, Aqua, NOAA Polar Orbiters, TRMM;29;convective clouds/systems, precipitating convective cloud systems, deep convective cloud systems, mesoscale convective complex, cloud properties, cloud microphysics, cloud dynamics, precipitation, rain;1458, 1455, 1452, 1453, 1428, 1414, 1398, 1542, 1516;https://doi.org/10.5067/GPMGV/MC3E/DATA101;MC3E Logo;https://gpm.nasa.gov/sites/default/files/imce/MC3E_logo.jpg;NASA;https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-14-00228.1;Global Precipitation Mission;39;;GHRC;https://ghrc.nsstc.nasa.gov/home/field-campaigns/mc3e;;"https://gpm.nasa.gov/sites/default/files/document_files/Earth_Observer_Jan_2012_MC3E.pdf
https://www.arm.gov/publications/programdocs/doe-sc-arm-14-012.pdf";N/A;US Department of Energy;https://www.energy.gov/;FALSE;e7347ded-45e0-4c90-8e0f-66e00f725dea;;;AS;;
NAAMES;North Atlantic Aerosols and Marine Ecosystems Study;;The main focus of NAAMES was on the phytoplankton life cycle and how it affects marine aerosols and boundary layer clouds. The campaign took place over the northwestern Atlantic over the course of four deployments. Aircraft, a research vessel, satellites, and land-based atmospheric monitoring stations were all utilized to collect data. This campaign was an EVS-2 campaign.;Carbon Cycle & Ecosystems;Plankton, remote marine aerosols, boundary layer clouds;Northwestern Atlantic;60, 30, -5, -75;year round;11/5/2015;4/13/2018;4;11/19/2015-11/15/2015, 5/25/2016;NASA;EVS-2;Hal Maring;Mike Behrenfeld;Chris Proctor;Aircraft, Water-based Platforms, Satellites, Land-based Platforms;C-130;C-130: LARGE, HSRL, GCAS, RSP, 4STAR, PTR-MS;R/V Atlantis, Models, atmospheric monitoring station;WETLABS, WETSAR, UVP5, floats, FLNTU, McClane Imaging Flowcytobot, DMA-CCN, BDInfluxCellSorter, FRRf;22;Aerosols, carbon dioxide, trace gases/trace species, clouds, phytoplankton, plankton;1130, 1151, 1206, 1502, 1856;10.5067/Suborbital/NAAMES/DATA001;NAAMES Logo;https://essp.nasa.gov/essp/files/2017/06/NAAMES-300x239.png;NASA;10.3389/fmars.2019.00122;NID;12;;ASDC;https://eosweb.larc.nasa.gov/project/naames/naames_table;;N/A;N/A;NID;NID;FALSE;758196d0-75e7-402f-aa77-f32abf14e745;Deployment 4 did not have any flights;;SB;3/23/2020;CW
NAMMA;NASA African Monsoon Multidisciplinary Analyses;;NAMMA was a campaign that took place over the central and eastern Atlantic and was based out of the Cape Verde Islands off the coast of Africa between August and September of 2006. NAMMA was NASA’s extension of the international AMMA project. NAMMA studied African easterly waves (AEW) as well as the Saharan Air Layer (SAL). It looked at the effect the SAL had on AEWs and their potential to become hurricanes. Airborne platforms and ground platforms were utilized to collect data, and satellite imagery was also used as well.;Weather, Global Water & Energy Cycle;Hurricanes, African Easterly Waves, mesoscale convective systems, energy budget, aerosols, precipitation, Saharan Air Layer, hurricane development, hurricane evolution;Cape Verde Islands, Atlantic Ocean;35, -5, 30, -75;wet;8/15/2006;9/15/2006;1;8/9/2006, 8/23/2006, 9/12/2006;NASA;ROSES 2005;Ramesh Kakar;Edward Zipser;NID;Aircraft, Satellites, Land-based Platforms, Balloons;DC-8;DC-8: 2D-S, APR-2, CPI, CAPS, COBALT, CVI, DLH, HAMSR, LASE, MMS, RTMM, REVEAL;Ground stations, TRMM, Aqua, CALIPSO;Dropsondes, NPOL, TOGA, SMART-COMMIT, radiosondes, Starnet;13;dust/ash/smoke, lightning, anticyclones/cyclones, cloud clusters, hurricanes (n. atlantic/e. pacific), tropical cyclone motion, tropical storm frequency, hurricanes, tropical oceanic cloud systems, aerosol particle properties, cloud microphysics;1125, 1210, 1213, 1438, 1592, 1654, 1671, 2543, 1457, 1118, 1414;N/A;;;;https://journals.ametsoc.org/doi/pdf/10.1175/2009BAMS2728.1;N/A;22;;GHRC;https://ghrc.nsstc.nasa.gov/hydro/?project[0]=NAMMA#/?_k=5q90y0;;"https://ghrc.nsstc.nasa.gov/home/field-campaigns/NAMMA
summary: https://airbornescience.nasa.gov/sites/default/files/documents/SSP06Rpt_final.pdf";N/A;N/A;N/A;FALSE;9f2ae650-7c15-403e-9ef9-27dc61bd3349;"NAMMA did not support any NASA missions, but it was spun off of an international project, AMMA
I did not make NOAA a partner because to me it seemed like it was a case of parallel campaigns that benefitted from each other rather than a partnership.";;SB;1/21/2020;
